Unnamed: 0,State,City,Name,Type,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,DSLR Allowed,Number of google review in lakhs,Best Time to visit
21,Maharastra,Mumbai,Mahalaxmi Temple,Temple,1.0,4.7,0,Yes,,No,0.33,All
22,Maharastra,Mumbai,Haji Ali Dargah,Religious Shrine,2.0,4.4,0,Yes,,No,0.16,All
23,Maharastra,Mumbai,Chowpatty Beach,Beach,2.0,4.3,0,Yes,,Yes,0.05,Evening
24,Maharastra,Mumbai,Essel World,Amusement Park,5.0,4.3,1149,Yes,,Yes,0.27,All
25,Maharastra,Mumbai,Elephanta Caves,Monument,4.0,4.3,550,Yes,,Yes,0.35,All 
26,Maharastra,Lonavala,Imagicaa,Amusement Park,5.0,1.4,1149,No,Monday,Yes,0.95,All
27,Karnataka,Bangalore,Bangalore Palace,Palace,2.0,4.2,500,Yes,Monday,Yes,0.9,Morning
28,Karnataka,Bangalore,Lalbagh Botanical Garden,Botanical Garden,1.5,4.4,20,Yes,,Yes,1.5,Evening
29,Karnataka,Bangalore,Cubbon Park,Park,1.0,4.4,0,Yes,,Yes,1.32,Morning
30,Karnataka,Bangalore,Vidhana Soudha,Government Building,0.5,4.6,0,Yes,,No,0.8,Morning
31,Karnataka,Bangalore,ISKCON Temple Bangalore,Temple,1.0,4.6,0,Yes,,Yes,1.14,Evening
32,Telangana,Hyderabad,Charminar,Landmark,1.0,4.5,25,Yes,Friday,Yes,2.1,Morning
33,Telangana,Hyderabad,Golconda Fort,Fort,2.0,4.4,30,Yes,,Yes,1.2,Morning
34,Telangana,Hyderabad,Hussain Sagar Lake,Lake,1.0,4.3,0,Yes,,Yes,0.5,Evening
35,Telangana,Hyderabad,Ramoji Film City,Film Studio,4.0,4.4,1150,Yes,,Yes,0.45,All
36,Telangana,Hyderabad,Salar Jung Museum,Museum,2.0,4.4,20,Yes,,Yes,0.67,All
37,Telangana,Hyderabad,Qutb Shahi Tombs,Tombs,1.0,4.4,25,Yes,,Yes,0.2,Morning
38,Telangana,Hyderabad,Birla Mandir,Temple,1.0,4.7,0,Yes,,No,0.41,All
39,Telangana,Hyderabad,Chowmahalla Palace,Palace,1.5,4.4,80,Yes,,Yes,0.45,Morning
40,Telangana,Hyderabad,Nehru Zoological Park,Zoo,3.0,4.2,50,Yes,,Yes,0.86,Morning
41,Telangana,Hyderabad,Lumbini Park,Park,1.0,4.1,20,Yes,,Yes,0.73,Evening
42,West Bengal,Kolkata,Victoria Memorial,Museum,1.5,4.6,30,Yes,Monday,Yes,0.73,Morning
43,West Bengal,Kolkata,Howrah Bridge,Bridge,0.5,4.6,0,Yes,,No,1.2,Anytime
44,West Bengal,Kolkata,Indian Museum,Museum,2.0,4.6,50,Yes,Monday,Yes,0.18,Morning
45,West Bengal,Kolkata,Dakshineswar Kali Temple,Temple,1.0,4.7,0,Yes,,Yes,0.82,Morning
46,West Bengal,Kolkata,Kalighat Kali Temple,Temple,1.0,4.4,0,Yes,,Yes,0.5,Morning
47,West Bengal,Kolkata,Eden Gardens,Cricket Ground,3.0,4.1,2500,Yes,,Yes,0.1,All
48,West Bengal,Kolkata,Alipore Zoological Gardens,Zoo,2.0,4.3,25,Yes,,Yes,0.66,Afternoon
49,West Bengal,Kolkata,Science City Kolkata,Science,3.0,4.4,60,Yes,,Yes,0.88,All
50,West Bengal,Kolkata,Belur Math,Site,1.5,4.7,0,Yes,,Yes,0.47,Morning
51,West Bengal,Kolkata,Marble Palace,Palace,1.0,4.4,0,Yes,,Yes,0.1,Afternoon
52,Goa,Goa,Calangute Beach,Beach,2.0,4.4,0,Yes,,Yes,0.26,Evening
53,Goa,Goa,Basilica of Bom Jesus,Church,1.0,4.5,0,Yes,,Yes,0.59,Afternoon
54,Goa,Goa,Fort Aguada,Fort,1.5,4.2,0,Yes,,Yes,0.95,Morning
55,Goa,Goa,Dudhsagar Falls,Waterfall,3.0,4.6,500,Yes,,Yes,0.3,Afternoon
56,Goa,Goa,Anjuna Beach,Beach,2.0,4.4,0,Yes,,Yes,0.18,Evening
57,Goa,Goa,Chapora Fort,Fort,1.0,4.2,0,Yes,,Yes,0.19,Evening
58,Goa,Goa,Se Cathedral,Church,1.0,4.5,0,Yes,,Yes,0.05,Afternoon
59,Goa,Goa,Baga Beach,Beach,2.0,4.5,0,Yes,,Yes,0.35,Evening
60,Goa,Goa,Arambol Beach,Beach,2.0,4.6,0,Yes,,Yes,0.1,Evening
61,Goa,Goa,Palolem Beach,Beach,2.0,4.6,0,Yes,,Yes,0.27,Evening
62,Goa,Goa,Colva Beach,Beach,2.0,4.3,0,Yes,,Yes,0.1,Evening
63,Goa,Goa,Miramar Beach,Beach,1.5,4.2,0,Yes,,Yes,0.3,Evening
64,Goa,Goa,Aguada Beach,Beach,2.0,4.5,0,Yes,,Yes,0.01,Evening
65,Goa,Goa,Dr. Salim Ali Bird Santuary,Bird Sanctuary,2.0,3.9,10,Yes,,Yes,0.03,Afternoon
66,Gujarat,Ahmedabad,Sabarmati Ashram,Historical,1.5,4.6,0,Yes,,Yes,0.35,Morning
67,Gujarat,Dwarka,Dwarkadhish Temple,Temple,2.0,4.7,0,No,,No,0.59,Evening
68,Gujarat,Junagadh,Gir National Park,National Park,3.0,4.5,3500,No,,Yes,0.08,Morning
69,Gujarat,Bhuj,White Desert,Site,2.5,4.6,0,Yes,,Yes,0.12,Evening
70,Gujarat,Vadodara,Laxmi Vilas Palace,Palace,2.0,4.4,200,Yes,Monday,Yes,0.17,Afternoon
71,Gujarat,Somnath,Somnath Temple,Temple,2.0,4.8,0,No,,No,0.39,Morning
72,Gujarat,Rann of Kutch,Rann Utsav,Cultural,3.0,4.9,7500,Yes,,Yes,0.1,Evening
73,Gujarat,Kevadia,Statue of Unity,Monument,3.0,4.6,350,No,Monday,Yes,0.67,All
74,Gujarat,Gandhinagar,Dandi Kutir,Museum,1.5,4.5,0,No,,Yes,0.05,All
75,Gujarat,Ahmedabad,Sabarmati Riverfront,Urban Development Project,1.0,4.6,0,Yes,,Yes,0.1,Evening
76,Gujarat,Ahmedabad,Manek Chowk,Market,2.0,4.4,0,Yes,,Yes,0.49,Night
77,Gujarat,Ahmedabad,Kankaria Lake,Lake,3.0,4.5,10,Yes,,Yes,0.3,Afternoon
78,Gujarat,Ahmedabad,Science City,Science,7.0,4.4,500,Yes,Monday,Yes,0.11,All
79,Rajasthan,Jaipur,Hawa Mahal,Palace,1.0,4.4,50,Yes,,Yes,1.3,Morning
80,Rajasthan,Udaipur,City Palace,Palace,2.0,4.4,300,Yes,,Yes,0.51,All
81,Rajasthan,Jaisalmer,Jaisalmer Fort,Fort,2.5,4.4,50,No,,Yes,0.56,All
82,Rajasthan,Sawai Madhopur,Ranthambore National Park,Wildlife Sanctuary,3.0,4.6,500,No,,Yes,0.09,All
83,Rajasthan,Pushkar,Pushkar Lake,Temple,1.5,4.4,0,No,,Yes,1.6,All
84,Rajasthan,Ajmer,Ajmer Sharif Dargah,Shrine,1.0,4.6,0,Yes,,No,0.35,All
85,Rajasthan,Jodhpur,Mehrangarh Fort,Fort,2.0,4.6,100,Yes,,Yes,0.64,All
86,Rajasthan,Chittorgarh,Chittorgarh Fort,Fort,2.0,4.6,40,No,,Yes,1.9,All
87,Rajasthan,Mount Abu,Dilwara Temples,Temple,1.0,4.6,0,No,,No,0.05,All
88,Rajasthan,Bikaner,Junagarh Fort,Fort,2.0,4.5,50,Yes,,Yes,0.32,All
89,Rajasthan,Jaipur,Amber Fort,Fort,2.0,4.6,100,Yes,,Yes,1.5,All
90,Rajasthan,Jaipur,Jaigarh Fort,Fort,1.5,4.5,35,Yes,,Yes,0.3,All
91,Rajasthan,Udaipur,Lake Pichola,Lake,1.0,4.6,0,Yes,,Yes,0.5,All
92,Punjab,Amritsar,Golden Temple (Harmandir Sahib),Religious Site,1.5,4.9,0,Yes,,Yes,1.9,All
93,Punjab,Amritsar,Jallianwala Bagh,Memorial,1.0,4.8,0,Yes,,Yes,0.3,Afternoon
94,Punjab,Amritsar,Wagah Border,Border Crossing,2.0,4.8,0,Yes,,Yes,0.17,Evening
95,Punjab,Chandigarh,Rock Garden,Sculpture Garden,2.0,4.5,30,Yes,,Yes,0.5,All
96,Kerala,Alappuzha,Alappuzha Beach,Beach,1.5,4.5,0,Yes,,Yes,0.11,All
97,Kerala,Munnar,Munnar Tea Gardens,Scenic Area,2.0,4.3,0,No,,Yes,0.3,All
98,Kerala,Kochi,Fort Kochi,Site,1.0,4.4,0,Yes,,Yes,0.1,All
99,Kerala,Thiruvananthapuram,Padmanabhaswamy Temple,Temple,1.0,4.7,0,Yes,,No,0.46,All
100,Kerala,Kozhikode,Kozhikode Beach,Beach,1.5,3.9,0,Yes,,Yes,0.059,All
101,Kerala,Wayanad,Wayanad Wildlife Sanctuary,Wildlife Sanctuary,3.0,4.5,300,No,,Yes,2.2,All
102,Kerala,Thekkady,Periyar National Park,National Park,3.0,4.3,50,No,,Yes,0.14,All
103,Kerala,Kumarakom,Kumarakom Bird Sanctuary,Bird Sanctuary,2.0,3.8,50,Yes,,Yes,0.1,All
104,Kerala,Varkala,Varkala Beach,Beach,2.0,4.6,0,Yes,,Yes,0.1,All
105,Kerala,Bekal,Bekal Fort,Fort,1.5,4.5,20,No,,Yes,0.22,All
106,Kerala,Kovalam,Kovalam Beach,Beach,2.0,4.4,0,Yes,,Yes,0.68,All
107,Kerala,Kannur,St. Angelo Fort,Fort,1.0,4.4,20,Yes,,Yes,0.11,All
108,Kerala,Nelliyampathy,Seethargundu Viewpoint,Viewpoint,1.0,4.5,0,No,,Yes,0.03,Morning
109,Kerala,Kochi,Kerala Folklore Museum,Cultural,1.5,4.4,100,Yes,Monday,Yes,0.1,All
110,Kerala,Kochi,Wonderla Amusement Park,Amusement Park,5.5,4.6,750,Yes,,Yes,0.41,All
111,Karnataka,Mysore,Mysore Palace,Palace,2.0,4.6,50,Yes,,Yes,2.5,All
112,Karnataka,Hampi,Hampi Archaeological Ruins,Site,3.0,4.7,0,No,,Yes,0.05,All
113,Karnataka,Coorg,Abbey Falls,Waterfall,1.0,4.1,0,No,,Yes,0.03,Morning
114,Karnataka,Gokarna,Om Beach,Beach,2.0,4.5,0,No,,Yes,0.09,All
115,Karnataka,Chikmagalur,Mullayanagiri,Mountain Peak,3.0,4.5,0,No,,Yes,0.05,All
116,Karnataka,Badami,Badami Cave Temples,Cave,1.5,4.6,30,No,,No,0.2,All
117,Karnataka,Shivamogga,Jog Falls,Waterfall,1.5,4.6,30,No,,Yes,0.23,Morning
118,Karnataka,Mangalore,Panambur Beach,Beach,1.5,4.5,0,Yes,,Yes,0.1,All
119,Karnataka,Murudeshwar,Murudeshwar Temple,Temple,1.0,4.7,0,Yes,,No,0.49,All
120,Karnataka,Bijapur,Gol Gumbaz,Mausoleum,1.5,4.5,20,No,,Yes,0.25,All
121,Karnataka,Bandipur,Bandipur National Park,National Park,3.0,4.4,300,No,,Yes,0.15,Morning
122,Karnataka,Halebidu,Halebidu Hoysaleswara Temple,Temple,1.0,4.7,15,No,,No,0.11,All
123,Maharastra,Pune,Shaniwar Wada,Fort,2.0,4.4,50,Yes,,Yes,1.2,All
124,Maharastra,Aurangabad,Ajanta Caves,Cave,3.0,4.6,30,Yes,Monday,Yes,0.21,Afternoon
125,Maharastra,Nashik,Sula Vineyards,Vineyard,2.0,4.1,300,Yes,,Yes,0.1,Afternoon
126,Maharastra,Shirdi,Sai Baba Temple,Temple,1.5,4.7,0,Yes,,No,0.69,All
127,Maharastra,Alibaug,Alibaug Beach,Beach,1.5,4.2,0,Yes,,Yes,0.05,Evening
128,Maharastra,Ratnagiri,Ganapatipule Temple,Temple,1.0,4.7,0,No,,No,0.1,All
129,Maharastra,Nagpur,Deekshabhoomi,Monument,1.0,4.5,0,Yes,,Yes,0.11,Afternoon
130,Maharastra,Kolhapur,Mahalakshmi Temple,Temple,1.0,4.8,0,Yes,,No,0.9,All
131,Maharastra,Lonavala,Karla Caves,Cave,1.5,4.4,25,Yes,Yes,Yes,0.27,Afternoon
132,Maharashtra,Tarkarli,Tarkarli Beach,Beach,2.0,4.6,0,No,,Yes,0.065,Evening
133,Maharashtra,Satara,Kaas Plateau,Valley,2.0,4.4,300,No,,Yes,0.05,Afternoon
134,Maharashtra,Matheran,Echo Point,Viewpoint,1.5,4.4,0,Yes,,Yes,0.02,Morning
135,Maharashtra,Ajanta,Ellora Caves,Cave,3.0,4.7,30,Yes,Tuesday,Yes,0.49,Afternoon
136,Madhya Pradesh,Khajuraho,Khajuraho Group of Monuments,Temples,2.0,4.7,40,No,,Yes,0.09,Afternoon
137,Madhya Pradesh,Bhopal,Sanchi Stupa,Monument,1.5,4.7,30,Yes,,Yes,0.01,Afternoon
138,Madhya Pradesh,Indore,Rajwada Palace,Palace,1.0,4.4,10,Yes,,Yes,0.63,Afternoon
139,Madhya Pradesh,Gwalior,Gwalior Fort,Fort,2.5,4.5,75,Yes,,Yes,0.4,Morning
140,Madhya Pradesh,Ujjain,Mahakaleshwar Jyotirlinga,Temple,1.5,4.8,0,Yes,,No,1.2,All
141,Madhya Pradesh,Jabalpur,Dhuandhar Falls,Waterfall,1.0,4.5,0,No,,Yes,0.01,Morning
142,Madhya Pradesh,Pachmarhi,Bee Falls,Waterfall,1.5,4.6,15,No,,Yes,0.065,Morning
143,Madhya Pradesh,Kanha,Kanha National Park,Wildlife Sanctuary,3.0,4.5,100,No,,Yes,0.1,Morning
144,Madhya Pradesh,Bandhavgarh,Bandhavgarh National Park,National Park,3.0,4.5,50,No,,Yes,0.05,Morning
145,Madhya Pradesh,Orchha,Orchha Fort,Fort,1.5,4.8,10,No,,Yes,0.1,Afternoon
146,Madhya Pradesh,Mandu,Jahaz Mahal,Site,1.0,3.9,50,No,,Yes,0.03,Afternoon
147,Madhya Pradesh,Bhimbetka,Bhimbetka Rock Shelters,Prehistoric Site,2.0,4.6,25,No,,Yes,0.07,Afternoon
148,Madhya Pradesh,Amarkantak,Narmada Udgam Temple,Temple,1.0,4.4,0,No,,Yes,0.01,All
149,Madhya Pradesh,Chitrakoot,Chitrakoot Falls,Waterfall,1.5,4.4,0,No,,Yes,0.1,Morning
150,Himachal Pradesh,Shimla,The Ridge,Scenic Point,1.0,4.7,0,Yes,,Yes,0.03,Morning
151,Himachal Pradesh,Manali,Solang Valley,Valley,2.0,4.1,0,No,,Yes,0.05,Morning
152,Himachal Pradesh,dalhousie,Dalai Lama Temple,Temple,1.5,4.7,0,Yes,,No,0.15,All
153,Himachal Pradesh,Dalhousie,Khajjiar Lake,Lake,1.5,4.5,0,No,,Yes,0.1,Morning
154,Himachal Pradesh,Spiti Valley,Key Monastery,Monastery,1.0,4.8,0,No,,Yes,0.025,Morning
155,Himachal Pradesh,Kullu,Great Himalayan National Park,National Park,3.0,4.5,50,No,,Yes,0.2,All
156,Himachal Pradesh,Chamba,Chamera Lake,Lake,2.0,4.4,0,No,,Yes,0.01,Morning
157,Himachal Pradesh,Kinnaur,Sangla Valley,Valley,2.0,4.5,0,No,,Yes,0.01,Morning
158,Himachal Pradesh,Kangra,Kangra Fort,Fort,2.0,4.4,150,Yes,,Yes,0.1,All
159,Himachal Pradesh,Palampur,Tea Gardens,Tea Plantation,1.5,4.6,0,Yes,,Yes,0.015,Morning
160,Himachal Pradesh,Mandi,Prashar Lake,Lake,1.5,4.6,0,No,,Yes,0.01,Morning
161,Himachal Pradesh,Bir Billing,Paragliding Site,Adventure Sport,2.0,4.8,2500,No,,Yes,0.01,All
162,Himachal Pradesh,McLeod Ganj,Triund Trek,Trekking,5.0,4.8,0,Yes,,Yes,0.01,Morning
163,Himachal Pradesh,Manikaran,Manikaran Sahib,Gurudwara,1.0,4.6,0,No,,Yes,1.3,Morning
164,Himachal Pradesh,Narkanda,Hatu Peak,Viewpoint,2.0,4.5,0,Yes,,Yes,1.1,All
165,Himachal Pradesh,Barot,Barot Valley,Valley,2.0,4.7,0,No,,Yes,1.2,Morning
166,Himachal Pradesh,Shoja,Serolsar Lake,Lake,2.5,4.4,0,No,,Yes,0.9,Morning
167,Himachal Pradesh,Kufri,Kufri Fun World,Ski Resort,5.0,3.8,1500,Yes,,Yes,0.1,All
168,Uttarakhand,Nainital,Naini Lake,Lake,1.5,4.2,0,Yes,,Yes,0.01,Morning
169,Uttarakhand,Rishikesh,Laxman Jhula,Suspension Bridge,1.0,4.4,0,Yes,,Yes,0.03,Morning
170,Uttarakhand,Haridwar,Har Ki Pauri,Ghat,1.0,4.5,0,Yes,,Yes,0.025,All
171,Uttarakhand,Dehradun,Robber's Cave,Cave,1.5,4.5,25,Yes,,Yes,0.01,Morning
172,Uttarakhand,Mussoorie,Kempty Falls,Waterfall,1.5,4.2,15,Yes,,Yes,0.55,Morning
173,Uttarakhand,Auli,Auli Ski Resort,Ski Resort,3.0,4.5,0,No,,Yes,0.01,Morning
174,Uttarakhand,Badrinath,Badrinath Temple,Temple,1.0,4.8,0,No,,No,0.29,All
175,Uttarakhand,Almora,Binsar Wildlife Sanctuary,Wildlife Sanctuary,2.0,4.3,150,No,,Yes,0.01,All
176,Uttarakhand,Ranikhet,Chaubatia Gardens,Orchard,1.0,4.0,50,No,,Yes,0.025,All
177,Uttarakhand,Jim Corbett,Jim Corbett National Park,National Park,3.0,4.4,100,Yes,,Yes,0.3,All
178,Uttarakhand,Uttarkashi,Gangotri Temple,Temple,1.0,4.8,0,No,,No,0.05,All
179,Uttarakhand,Chopta,Tungnath Temple,Temple,2.0,4.8,0,No,,No,0.09,All
180,Uttarakhand,Joshimath,Valley of Flowers,National Park,5.0,4.7,150,No,,Yes,0.035,Morning
181,Uttar Pradesh,Agra,Taj Mahal,Mausoleum,2.0,4.6,50,Yes,Friday,Yes,2.25,Morning
182,Uttar Pradesh,Varanasi,Kashi Vishwanath Temple,Temple,1.0,4.7,0,Yes,,No,0.9,All
183,Uttar Pradesh,Lucknow,Bara Imambara,Monument,1.5,4.4,50,Yes,Monday,No,0.45,All
184,Uttar Pradesh,Mathura,Krishna Janmabhoomi,Temple,1.0,4.7,0,Yes,,No,0.13,All
185,Uttar Pradesh,Ayodhya,Ram Janmabhoomi,Religious Site,1.0,4.8,0,Yes,,No,0.025,All
186,Uttar Pradesh,Vrindavan,Banke Bihari Temple,Temple,1.0,4.8,0,Yes,,No,0.37,All
187,Uttar Pradesh,Allahabad,Triveni Sangam,Confluence,1.0,4.5,0,Yes,,Yes,0.09,Morning
188,Uttar Pradesh,Jhansi,Jhansi Fort,Fort,1.5,4.4,15,Yes,,Yes,0.25,All
189,Uttar Pradesh,Sarnath,Dhamek Stupa,Monument,1.0,4.6,5,Yes,,Yes,0.065,All
190,Uttar Pradesh,Fatehpur Sikri,Buland Darwaza,Monument,2.0,4.4,40,Yes,,Yes,0.07,Afternoon
191,Uttar Pradesh,Noida,Okhla Bird Sanctuary,Bird Sanctuary,1.5,4.3,30,Yes,,Yes,0.035,All
192,Uttar Pradesh,Aligarh,Aligarh Fort,Fort,1.0,4.1,20,Yes,,Yes,0.0165,Afternoon
193,Uttar Pradesh,Meerut,Augarnath Temple,Temple,1.0,4.8,0,Yes,,No,0.045,All
194,Uttar Pradesh,Kanpur,Allen Forest Zoo,Zoo,2.0,4.2,150,Yes,Monday,Yes,0.21,All
195,Jammu and Kashmir,Srinagar,Dal Lake,Lake,2.0,4.6,0,Yes,,Yes,0.15,Morning
196,Ladakh,Leh,Pangong Tso,Lake,2.0,4.9,20,Yes,,Yes,0.15,Morning
197,Jammu and Kashmir,Pahalgam,Betaab Valley,Valley,2.0,4.6,100,No,,Yes,0.11,All
198,Jammu and Kashmir,Jammu,Vaishno Devi,Temple,5.0,4.7,0,Yes,,No,0.55,All
199,Jammu and Kashmir,Udhampur,Patnitop Height,Hill,2.0,4.1,0,No,,Yes,0.01,All
200,Jammu and Kashmir,Anantnag,Amarnath Cave,Temple,6.0,4.5,0,No,,Yes,0.11,All
201,Ladakh,Leh,Thiksey Monastery,Monastery,1.5,4.7,20,Yes,,No,0.05,All
202,Ladakh,Nubra Valley,Nubra Valley,Valley,2.0,4.5,0,No,,Yes,0.1,All
203,Ladakh,Kargil,Kargil War Memorial,War Memorial,1.0,4.8,0,No,,Yes,0.011,All
204,Ladakh,Diskit,Diskit Monastery,Monastery,1.0,4.7,20,No,,No,0.015,Morning
205,Jammu and Kashmir,Kishtwar,Kishtwar National Park,National Park,3.0,4.3,100,No,,Yes,0.01,All
206,Ladakh,Hemis,Hemis National Park,National Park,4.0,4.4,20,No,,Yes,0.02,All
207,Ladakh,Dras,Dras War Memorial,War Memorial,1.0,4.8,0,No,,Yes,0.012,All
208,Ladakh,Leh,Magnetic Hill,Gravity Hill,0.5,3.7,0,Yes,,Yes,0.1,All
209,Ladakh,Leh,Khardung La Pass,Hill,1.0,4.5,0,Yes,,Yes,0.05,Afternoon
210,Ladakh,Leh,Thiksey Monastery,Monastery,1.5,4.7,30,Yes,,No,0.05,All
211,Uttar Pradesh,Vrindavan,Prem Mandir,Temple,1.5,4.8,0,Yes,,Yes,0.49,Evening
212,Uttar Pradesh,Porbandar,Kirti Mandir,Memorial,1.0,4.8,0,Yes,,Yes,0.03,Morning
213,Uttar Pradesh,Mathura,Nand Gaon,Village,1.0,4.1,0,Yes,,Yes,0.01,Morning
214,Uttar Pradesh,Mathura,Barsana Mandir,Temple,1.0,4.8,0,Yes,,Yes,0.1,Morning
215,West Bengal,Darjeeling,Tiger Hill,Sunrise Point,1.0,4.5,0,No,,Yes,0.025,All
216,West Bengal,Siliguri,Jaldapara National Park,Wildlife Sanctuary,3.0,4.4,250,Yes,,Yes,0.035,All
217,West Bengal,Sundarbans,Sundarbans National Park,National Park,4.0,4.4,60,No,,Yes,0.065,All
218,West Bengal,Digha,Digha Beach,Beach,1.5,4.5,0,No,,Yes,0.09,Morning
219,West Bengal,Murshidabad,Hazarduari Palace,Palace,1.5,4.5,10,Yes,Friday,Yes,0.18,Morning
220,West Bengal,Bolpur,Kankalitala Temple,Temple,0.5,4.7,0,Yes,,No,0.045,All
221,West Bengal,Hooghly,Hangseswari Temple,Temple,0.5,4.6,0,Yes,,No,0.07,All
222,West Bengal,Jalpaiguri,Gorumara National Park,National Park,3.0,4.4,100,Yes,,Yes,0.07,All
223,West Bengal,Cooch Behar,Cooch Behar Palace,Palace,1.0,4.5,20,Yes,Friday,Yes,0.09,All
224,West Bengal,Purulia,Ayodhya Hills,Hill,2.5,4.5,0,No,,Yes,0.15,All
225,Odisha,Puri,Jagannath Temple,Temple,2.0,4.7,0,Yes,,No,1.0,All
226,Odisha,Konark,Sun Temple,Temple,1.5,4.7,40,Yes,,Yes,0.83,All
227,Odisha,Bhubaneswar,Lingaraj Temple,Temple,1.0,4.6,0,Yes,,No,0.35,All
228,Odisha,Rourkela,Khandadhar Waterfall,Waterfall,1.5,4.5,0,No,,Yes,1.2,All
229,Odisha,Cuttack,Barabati Fort,Fort,1.0,4.5,0,Yes,,Yes,0.13,All
230,Odisha,Sambalpur,Hirakud Dam,Dam,1.0,4.5,0,No,,Yes,0.01,All
231,Odisha,Chilika,Chilika Lake,Lake,2.0,3.9,0,Yes,,Yes,0.1,Morning
232,Odisha,Berhampur,Tara Tarini Temple,Temple,1.0,4.6,0,Yes,,No,0.01,All
233,Odisha,Keonjhar,Badaghagara Waterfall,Waterfall,1.0,4.3,0,No,,Yes,0.018,Morning
234,Odisha,Balasore,Chandipur Beach,Beach,1.5,4.2,0,Yes,,Yes,0.014,Morning
235,Odisha,Kendujhar,Sanaghagara Waterfall,Waterfall,1.0,4.4,0,No,,Yes,0.055,All
236,Tamil Nadu,Chennai,Marina Beach,Beach,1.5,3.9,0,Yes,,Yes,0.1,Morning
237,Tamil Nadu,Madurai,Meenakshi Amman Temple,Temple,2.0,4.7,0,Yes,,No,0.65,All
238,Tamil Nadu,Rameswaram,Ramanathaswamy Temple,Temple,1.5,4.6,0,No,,No,0.01,All
239,Tamil Nadu,Kanyakumari,Vivekananda Rock Memorial,Memorial,1.0,4.6,20,Yes,,No,0.47,Morning
240,Tamil Nadu,Ooty,Ooty Lake,Lake,1.0,4.1,10,Yes,,Yes,0.61,Morning
241,Tamil Nadu,Coimbatore,Marudamalai Temple,Temple,1.0,4.7,0,Yes,,No,0.3,All
242,Tamil Nadu,Kodaikanal,Kodaikanal Lake,Lake,2.0,3.9,0,No,,Yes,0.1,Morning
243,Tamil Nadu,Thanjavur,Brihadeeswarar Temple,Temple,1.5,4.8,0,Yes,,No,0.35,All
244,Tamil Nadu,Mahabalipuram,Shore Temple,Temple,1.0,4.6,40,Yes,,No,0.09,All
245,Tamil Nadu,Yercaud,Yercaud Lake,Lake,1.0,4.2,0,No,,Yes,0.019,Morning
246,Tamil Nadu,Tirunelveli,Nellaiappar Temple,Temple,1.0,4.6,0,Yes,,No,0.16,All
247,Tamil Nadu,Chidambaram,Nataraja Temple,Temple,1.0,4.7,0,Yes,,No,0.28,All
248,Andhra Pradesh,Vijayawada,Kanaka Durga Temple,Temple,1.0,4.7,0,Yes,,No,0.44,All
249,Andhra Pradesh,Visakhapatnam,Rishikonda Beach,Beach,1.5,4.5,0,Yes,,Yes,0.39,Morning
