address,area,city,guest_recommendation,hotel_facilities,hotel_star_rating,latitude,longitude,property_name,property_type,site_review_count,site_review_rating,site_stay_review_rating,state,uniq_id,average_price
"Ashirwad Enclave, Lakhimi Path, Jonali, R.G.Baruah Road,",Rg Baruah Road,Guwahati,90.0,Business Center |Doctor on Call|Dry Cleaning|Laundry Service Available|Parking Facilities Available|Welcome Drinks|Power Backup|Gardens|Conference Facility |Kitchen available (home cook food on request)|Car Rental|Board Room|Internet Access Free|Newspapers In Lobby|Children's Park| Cook Services|Parking Facility|Room Service,0,26.1661828147,91.7774135711,Ashirwad Homestay,Hotel,21.0,4.3,Service Quality::4.5|Amenities::4.1|Food and Drinks::4.2|Value for Money::4.5|Location::3.9|Cleanliness::4.5,Assam,0e82d18692933c36f3be2928b60ab191,800
"Near Botanical Garden Metro Station,Sec  -  46",Others,NOIDA,,Airport Transfer Available / Surcharge|Doctor on Call|Dry Cleaning|Internet Access - Surcharge|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|Local Tour / Travel Desk|24 Hour Front Desk|Power Backup|Extra Person / Child - Share the same room|Internet Access Free|Newspapers In Lobby|Room Service (24 Hours)|Parking Facility,0,28.5522379,77.3597194,Apna Ghar- Sector 46,Guest House,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,Uttar Pradesh,7d3a45fb5a5481f4f28975cebc8dd3c0,800
"429, Sector-6, Rohini, Near Vidha Jain Public School",Rohini,Delhi,,Doctor on Call|Parking Facilities Available|Front Desk|Power Backup|Smoking Area |Internet Access Free|Courier Service|Parking Facility|Room Service,0,28.7097476,77.1103954,Baba Guest House,Guest House,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,Delhi,45a4f01f95a7cf07713692c32efa9f3f,800
"Village Gurdorh, Naggar Road, Manali,Distt. Kullu Himachal Pradesh",Naggar Road,Manali,,Doctor on Call|Lobby|Parking Facilities Available|Front Desk|24 Hour Front Desk|Gardens,4,32.2459026,77.1880853,Baragarh Villa,Villa,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,Himachal Pradesh,72968b25d39d6fbc47f342fc6ca80cee,10000
"Titawada, Nerul Bardez Goa",Candolim Area,Goa,92.0,,0,15.5049283,73.7919103,Annapurna Guest House,Guest House,38.0,4.6,Service Quality::4.6|Amenities::4.5|Food and Drinks::4.4|Value for Money::4.8|Location::4.4|Cleanliness::4.7,Goa,e937f1f395656f529f269d6bc189a52f,800
"Plot No:2,Elcot Avenue,Rajiv Gandhi Road,(OMR),Near Sozhanganallur Signal, before aavin milk factory",Thuraipakkam,Chennai,67.0,Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Parking Facilities Available|Front Desk|Locker Facility|Power Backup|Internet Access Free|Room Service (24 Hours)|Outdoor Parking - Secured,0,12.8944628,80.2273584,ARAVINDAR RESIDENCY,Hotel,28.0,3.6,Service Quality::3.5|Amenities::3.7|Food and Drinks::3.4|Value for Money::3.8|Location::4.0|Cleanliness::3.8,Tamil Nadu,6c400590e2262416abddeccb148f439f,800
"Chitrasani Village, Off. Abu-Palanpur Highway No. 14, Banaskantha, Gujarat",Banaskantha,Chitrasani,0.0,Banquet Facilities|Doctor on Call|Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|Locker Facility|Major Credit Cards Accepted|Doorman|Wake-up Call / Service|Car Rental|Guide / Sightseeing Service|Room Service,3,24.26778,72.483507,Balaram Palace Resort,Palace,1.0,1.0,Service Quality::1.0|Amenities::1.0|Food and Drinks::1.0|Value for Money::1.0|Location::1.0|Cleanliness::1.0,Gujarat,06fd2432c131b986e3dabef63869e0fe,4000
"Village Savti, Dharampuri, P.O. Daulatpura, Distt. Khandar",Ranthambhore,Sawai Madhopur,,Doctor on Call|24 Hour Front Desk|Room Service (24 Hours)|Room Service|CCTV,0,26.0065687,76.6037222,Bhadrawati Safari Lodge,Lodge,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,Rajasthan,ea07c562f673b643f273ce04dfa9e893,800
"NT Mall Road, Dalhousie ,176304(HP)",The Mall,Dalhousie,84.0,Doctor on Call|Laundry Service Available|Lift / Elevator|Parking Facilities Available|Front Desk|Power Backup|Campfire / Bon Fire|Internet Access Free|Outdoor Parking - Secured|Room Service|First-Aid Kit at Front Desk|Public Restrooms|Speciality Restaurant |Suites,3,32.537371,75.9824737,AS Clarks inn,Hotel,57.0,4.2,Service Quality::4.2|Amenities::4.1|Food and Drinks::4.1|Value for Money::4.1|Location::4.2|Cleanliness::4.1,Himachal Pradesh,091daef6f4cf8e8fc39bac2cf9342e79,4000
"Mullassery Building, Near Pallathuruthy Bridge, AC Road, Alleppey, Kerala, 688003",Others,Alleppey,,Doctor on Call,0,9.4980667,76.3388484,"Beautiful Alleppey Tours Two Bedroom, Alleppey",Houseboat,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,Kerala,78d6eb4657722af02cdbcabf1c579fb7,800
Sinhgad road pune,Pune Bangalore Highway,Pune,,Business Center |Parking Facilities Available|24 Hour Front Desk|Internet Access Free|Room Service (24 Hours)|Outdoor Parking - Secured|Parking Facility|Suites,0,18.4788581929,73.8223181405,Ashiyana,Homestay,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,Maharashtra,67c5e17d1829882a2eea640f7863eebc,800
"Railway Station Rd,NEAR SHIVAJI STATUE,NANDED,MAHARASHTRA.",Railway Station Rd,Nanded,87.0,Business Center |Doctor on Call|Laundry Service Available|24 Hour Front Desk|Power Backup|Room Service|CCTV,0,19.1382514,77.3209555,ASHIRWAD LODGING,Hotel,41.0,3.2,Service Quality::3.2|Amenities::3.1|Food and Drinks::3.9|Value for Money::3.6|Location::3.6|Cleanliness::2.9,Maharashtra,435632e2bd4d3b81f2e2ad2420769fdf,800
"Dadanpatrabar, Mandarmani.",Beach Road,Mandarmani,92.0,Doctor on Call|Laundry Service Available|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Power Backup|Gardens|Room Service,0,21.6614133299,87.6978331375,Aqua Marina Drive Inn,Resort,127.0,4.5,Service Quality::4.5|Amenities::4.4|Food and Drinks::4.4|Value for Money::4.6|Location::4.7|Cleanliness::4.6,West Bengal,573304a6989158cd0bad4c755bbcd3b3,800
"Nagalore road  Opp petrol bunk,",Yercaud Main Town,Yercaud,100.0,Business Center |Laundry Service Available|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |24 Hour Front Desk|Power Backup|Gardens|Room Service (24 Hours)|STD / ISD|Parking Facility,0,11.7887759755,78.211105642,Annai Illam Guest House,Guest House,1.0,4.6,Service Quality::5.0|Amenities::5.0|Food and Drinks::4.6|Value for Money::5.0|Location::4.6|Cleanliness::4.6,Tamil Nadu,10fc96c69463e641906a040122dbcee4,800
"Shuru, PO Prini, Manali",Village Prini,Manali,100.0,Doctor on Call|Laundry Service Available|Parking Facilities Available|Front Desk|Local Tour / Travel Desk|Gardens|Picnic Area|Open Air Restaurant / Dining | Bike on Rent|Vegetarian Food / Jain Food Available|Taxi Services|Campfire / Bon Fire|Internet Access Free|Outdoor Parking - Secured|Restaurant|Room Service,0,32.212801114,77.198374263,Bella Marina Villa,Hotel,1.0,4.0,Service Quality::4.0|Amenities::4.0|Food and Drinks::4.0|Value for Money::4.0|Location::4.0|Cleanliness::4.0,Himachal Pradesh,4f232fbf4f2b1c496d77e2a17ec470c9,800
"plot no 56, ghata village, gurgaon",Others,Gurgaon,,Doctor on Call|Parking Facilities Available|Power Backup|Fire Safety|Fire Exit Signs|First-Aid Kit at Front Desk,0,28.4667564,77.0930199,ATOM Guest House,Guest House,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,Haryana,b8b562d0ae94028f7acd71d83bfcb2d4,800
"Bendemeer Group of House boat, Ghat No 7, Boulevard Road, Srinagar, Jammu and Kashmir",Dal Lake Area,Srinagar,,Currency Exchange|Doctor on Call|Laundry Service Available|Front Desk|Local Tour / Travel Desk|Luggage Storage|Medical Assistance Available|Power Backup|Gardens|Dance Performances (on demand)|Suitable For Children|Separate Sitting Area|Smoking Area |Extra Person / Child - Share the same room|Internet Access Free|Family Room|Air / Rail Booking|Baggage Room|Adjoining Rooms|Outdoor Parking - Secured|Room Service|Paid Transfers|Security at All Hotel Entrances|Suites,0,34.0988217041,74.8429782876,Bendmeer Group of House Boat and Resorts,Houseboat,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,Jammu and Kashmir,9f75ad408665c44f1846e138da771bdd,800
"Gat no 1000, At post Dapode Khariv Bandhara, Taluka Velhe",Others,Pune,,Doctor on Call|Parking Facilities Available|Front Desk,0,18.2962689,73.637432,Balaji Resorts,Resort,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,Maharashtra,f0ecaca226218e94b5f0802d7b2af32b,800
Near Central St Stand,Parshuram,Chiplun,,Doctor on Call|Internet Access - Surcharge|Laundry Service Available|Parking Facilities Available|Front Desk|24 Hour Front Desk|Room Service|Fire Safety,0,17.5323106,73.5177928,Asha Sukha Nivas Laudge,Lodge,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,Maharashtra,cc3c623536dcb613550637462b2b1d55,800
"Road No. 2, Central Avenue,Kalyani Nagar",Kalyani Nagar,Pune,97.0,Airport Transfer Available / Surcharge|Business Center |Concierge|Doctor on Call|Dry Cleaning|Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|Locker Facility|Local Tour / Travel Desk|24 Hour Front Desk|Medical Assistance Available|Power Backup|Gardens|Smoking Area |Shopping Drop Facility (on fixed timings)|Internet Access Free|Newspapers In Lobby|Airport Transfer Free|Outdoor Parking - Secured|Parking Facility,4,18.5479334006,73.9009630948,AR Suites Fontana Bay,Service Apartment,41.0,4.6,Service Quality::4.5|Amenities::4.6|Food and Drinks::4.6|Value for Money::4.6|Location::4.7|Cleanliness::4.8,Maharashtra,5cb5586a975916d63eb933fd5539580b,10000
"Village Simsa, Kanyal Road",Village Simsa,Manali,16.0,Banquet Facilities|Business Center |Doctor on Call|Laundry Service Available|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Medical Assistance Available|Welcome Drinks|Power Backup|Gardens|Catering|Suitable For Children|Grocery|Conference Facility |Kitchen available (home cook food on request)|Massage Services |Discotheque | Bike on Rent|Veg / Non Veg Kitchens Separate |In House Events |Vegetarian Food / Jain Food Available|City Shuttle Service|Campfire / Bon Fire|Food Facility|Internet Access Free|Newspapers In Lobby|Room Service (24 Hours)|Spa Services Nearby| Cook Services|Air / Rail Booking|Internet / Fax (Reception area only)|Outdoor Parking - Secured|Parking Facility,3,32.226787,77.1854487,Atithi Cottages,Hotel,6.0,2.9,Service Quality::3.1|Amenities::3.1|Food and Drinks::2.9|Value for Money::2.9|Location::2.9|Cleanliness::3.1,Himachal Pradesh,c5cfd0295572c7f718bf405fff4b3cd4,4000
"# 598, 15th Cross, 35th Main,6th Phase, JP Nagar",Jp Nagar,Bangalore,74.0,Airport Transfer Available / Surcharge|Bar / Lounge |Health Club / Gym Facility Available|Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Power Backup|Internet Access Free|Room Service (24 Hours)|Outdoor Parking - Secured|Parking Facility,4,12.9058293,77.5783209,Aurick Hotel,Hotel,86.0,4.0,Service Quality::3.9|Amenities::4.0|Food and Drinks::4.2|Value for Money::3.9|Location::4.2|Cleanliness::4.5,Karnataka,6b11ae7b16c0ef9b94082304e1a329c1,10000
"Near Bus Stand, Station Road, Bagalkot, Karnataka PIN 587101",Near Bus Stand,Bagalkot,,Doctor on Call|Lobby|Non Smoking Rooms|Front Desk|24 Hour Front Desk|Power Backup,1,16.1846503,75.7009452,Anugraha Deluxe Hotel,Hotel,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,Karnataka,bdd13bb3dc9fb2166725646314435ce2,1500
"Near New Bus Terminal, Main Road,Kalpetta, Wayanad",Kalpetta,Wayanad,83.0,"Swimming Pool|Airport Transfer Available / Surcharge|Banquet Facilities|Business Center |Currency Exchange|Doctor on Call|Dry Cleaning|Health Club / Gym Facility Available|Internet Access - Surcharge|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Spa On Site - Chargeable|Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Air-Conditioning - Central|Welcome Drinks|Power Backup|Express Check-In / Check-Out|Gardens|Wake-up Call / Service|Separate Sitting Area|Coffee Shop / Cafe|Electronic / Magnetic Keys|Fire Place Available |Wheelchair Accessibility - Room|Pick Up and Drop (Rly Station, Bus Stand, Temple)|Vegetarian Food / Jain Food Available|Village Visit ( Chargeable )|Car Rental|Taxi Services|Food Facility|Internet Access Free|Newspapers In Lobby|Party hall|Air / Rail Booking|Baggage Room|Guide / Sightseeing Service|Adjoining Rooms|Outdoor Parking - Secured|Parking Facility",4,11.6045217,76.0834992,Best Western Plus Ekobarn,Hotel,72.0,4.3,Service Quality::4.2|Amenities::4.4|Food and Drinks::4.2|Value for Money::4.3|Location::4.2|Cleanliness::4.5,Kerala,49f7eb436677a526d8f7bb06a7cd078b,10000
"Village Nadiali, P.O. Dharamgarh, Near Nabha Sabhib Gurudwara, Ajitgarh, Chandigarh",Others,Chandigarh,0.0,Swimming Pool|Bar / Lounge |Doctor on Call|Dry Cleaning|Laundry Service Available|Multi Cuisine Restaurant |Sauna|Conference Facility,0,30.7046486,76.7178726,Aura Vaseela,Resort,1.0,1.6,Service Quality::1.6|Amenities::1.6|Food and Drinks::1.6|Value for Money::1.6|Location::1.6|Cleanliness::1.6,Punjab,f646e70f34462405acc8a5a6c760226b,800
"Naddi, Dal Lake, Mcleod Ganj",Village Naddi,Mcleodganj,66.0,Doctor on Call|Dry Cleaning|Laundry Service Available|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Local Tour / Travel Desk|Coffee Shop / Cafe|Children's Park|Room Service (24 Hours),2,32.2418621,76.3208346513,Anupam Resorts,Resort,12.0,4.1,Service Quality::3.9|Amenities::4.0|Food and Drinks::4.7|Value for Money::4.1|Location::4.3|Cleanliness::4.7,Himachal Pradesh,5164c283c495b679048fc1eea6b59359,2600
"Near La calypso casino, Saunta Waddo, Baga Beach",Baga Area,Goa,66.0,Airport Transfer Available / Surcharge|Internet Access - Surcharge|Laundry Service Available|Parking Facilities Available|Front Desk|Locker Facility|Luggage Storage|Power Backup|Smoking Rooms|Kitchen available (home cook food on request)| Bike on Rent|Car Rental|Taxi Services|Food Facility|Spa Services Nearby| Cook Services|Baggage Room|Outdoor Parking - Non Secured|Parking Facility|Room Service|CCTV,0,15.5606883347,73.7527654812,Atharv Coastal End Guest House,Guest House,3.0,3.4,Service Quality::3.4|Amenities::3.4|Food and Drinks::1.0|Value for Money::3.4|Location::3.4|Cleanliness::1.0,Goa,391757427f635f24e0b1b373f088a3d3,800
Badrish Hotal Near Tapowan Choki,Laxman Jhula Area,Rishikesh,,Doctor on Call|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Medical Assistance Available|Parking Facility|Room Service,2,30.0869281,78.2676116,Badrish,Hotel,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,Uttarakhand,970191f36308cc9016694f8da25bb551,2600
"Adjacent Chakravarthy Theater, KPT St, Siva Nagar, Dharmavaram,Anantapu",Siva Nagar,Anantapur,,Doctor on Call|Lobby|Front Desk|Local Tour / Travel Desk|24 Hour Front Desk|Luggage Storage|Power Backup|Room Service (24 Hours)|Parking Facility|Room Service,0,14.4158928,77.7255276,Balaji Inn,Hotel,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,Andhra Pradesh,d21dc7decafc1a418f6f62e0af099eda,800
"Kilbury Forest Road,  Village Pangot, Nainital (approx 13Kms from Town)",Village Pangot,Nainital,69.0,Swimming Pool|Beauty Salon - on charge|Billiards|Bowling|Doctor on Call|Games Zone|Laundry Service Available|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Non Smoking Hotel|Spa On Site - Chargeable|Table Tennis|24 Hour Front Desk|Doorman|Medical Assistance Available|Welcome Drinks|Power Backup|Gardens|Audio - Visual Equipment|Catering|Porter / Bellhop|Suitable For Children|Separate Sitting Area|Coffee Shop / Cafe|Conference Facility |Kitchen available (home cook food on request)|Multi - Line Phone|Pool Table|Discotheque |Clubhouse|Open Air Restaurant / Dining |Fun Floats|Veg / Non Veg Kitchens Separate |Vegetarian Food / Jain Food Available|Car Rental|Taxi Services|Board Room|Food Facility|Newspapers In Lobby|Postal / Parcel Services|Room Service (24 Hours)|Spa Services Nearby| Cook Services|Air / Rail Booking|Courier Service|Outdoor Parking - Secured|Parking Facility|Restaurant|Room Service|Fire Exit Signs|Full Time Operation for All 7 Days|Porter Services Available|Public Restrooms|Speciality Restaurant |Suites,4,29.4240533,79.4266449,Ashokas Naini Chalet,Resort,23.0,3.5,Service Quality::3.7|Amenities::3.4|Food and Drinks::3.3|Value for Money::3.3|Location::3.7|Cleanliness::3.5,Uttarakhand,b606ef6f7bca2604dad406116779e58d,10000
"#1, V H Road, Palakkad 678701",English Church Road,Palakkad,,Doctor on Call|Dry Cleaning|Parking Facilities Available|Front Desk|Locker Facility|24 Hour Front Desk|Luggage Storage|Internet Access Free|Newspapers In Lobby|Room Service (24 Hours)|Parking Facility|Internet Access|Room Service|Fire Safety|CCTV|Fire Exit Signs|First-Aid Kit at Front Desk|Public Restrooms,0,10.7770321,76.6763738,Apex Residency,Hotel,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,Kerala,35a6f6bca0900767ab573361e32ecd0d,800
"S.N Junction, Punnamada, Alappuzha",Finishing Point Road,Alleppey,,Power Backup|Fire Safety,0,9.4980667,76.3388484,Bens Houseboats 4 Bed Room A/c DLX (4),Houseboat,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,Kerala,41ce5e72bec060925f421359bbccf53f,800
shahi hamdan colony zukroo,Others,Srinagar,,Ballroom|Parking Facilities Available|Front Desk|Parking Facility|Room Service|First-Aid Kit at Front Desk,0,34.1255413,74.9442585,BE MY GUEST,Guest House,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,Jammu and Kashmir,b162ad2ad5c83cdcaf714df31c89fc82,800
"No.7.Dharga Road, Pallavaram,","Airport Area, Pallavaram",Chennai,72.0,Parking Facilities Available|Front Desk|Internet Access Free|Room Service (24 Hours)|Parking Facility,2,12.9661099,80.1479566,AVNB Towers,Hotel,119.0,3.6,Service Quality::3.6|Amenities::3.4|Food and Drinks::3.2|Value for Money::3.7|Location::3.8|Cleanliness::3.7,Tamil Nadu,6cbfed60decd97968828f9fe402934f0,2600
"No 6/16, munnekolalu extention, ashwathnagar, varthur hobli",Marathahalli,Bangalore,100.0,Laundry Service Available|Lift / Elevator|Parking Facilities Available|Front Desk|Locker Facility|Power Backup|Transfers Available|Internet Access Free|Room Service (24 Hours)|Outdoor Parking - Secured|Parking Facility|Room Service|Speciality Restaurant,0,12.9570902252,77.7022349063,ATITHI RESIDENCY - MARTHAHALLI,Hotel,3.0,4.3,Service Quality::3.3|Amenities::3.7|Food and Drinks::2.0|Value for Money::3.7|Location::4.7|Cleanliness::4.0,Karnataka,ad23d986b6fb83b016abb38685d888f6,800
"122 / 3, Near Bharma Temple",Brahma Temple Area,Pushkar,100.0,Doctor on Call|Multi Cuisine Restaurant,0,26.489749,74.5510856,AROMA,Hotel,2.0,4.1,Service Quality::4.3|Amenities::3.6|Food and Drinks::3.6|Value for Money::4.1|Location::4.3|Cleanliness::3.6,Rajasthan,69358d60e44855ccb8a38e08cfeabac9,800
"Gimhavne, Dapoli",Gihavane,Dapoli Camp,,Doctor on Call|Parking Facilities Available|Front Desk|Power Backup|Gardens|Parking Facility|Room Service|Speciality Restaurant,0,17.7656238,73.1674128,Bahar Homestay,Homestay,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,Maharashtra,3a3218de9179ad56b1f50cd5ef64179c,800
"Beach Road, Calicut Pin - 673 032 Kerala, India",Kappad Beach,Calicut,,Doctor on Call|Dry Cleaning|Lift / Elevator|Lobby|24 Hour Front Desk|Room Service,0,11.2587531,75.78041,BEACH HOTEL,Hotel,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,Kerala,3d7348cae4e56c274100be4e1830455b,800
"House No. 681/1 , Demello Vaddo,Anjuna Beach Road,4th lane left from Starco Junction,Anjuna- Goa.",Candolim Area,Goa,75.0,Doctor on Call|Internet Access - Surcharge|Parking Facilities Available,0,15.5809248,73.7448437,Arjun Villa,Guest House,4.0,4.4,Service Quality::3.9|Amenities::3.9|Food and Drinks::4.6|Value for Money::4.5|Location::4.5|Cleanliness::4.6,Goa,e4e94b954b98de42d77046654d2826bf,800
